Filename,Cyclomatic Complexity,Halstead Metrics,Maintainability Index,Source Lines of Code (SLOC),Comments Ratio,Number of Parameters,Afferent Coupling,Efferent Coupling,Instability,Syntax Errors
solution_1.py,0,"{'h1': 1, 'h2': 7, 'N1': 2, 'N2': 16, 'vocabulary': 8, 'length': 18, 'volume': 54.0, 'difficulty': 1.1428571428571428, 'effort': 61.71428571428571, 'time': 3.4285714285714284, 'bugs': 0.018}",100,5,0,0,0,1,1,0
solution_10.py,0,"{'h1': 1, 'h2': 8, 'N1': 2, 'N2': 12, 'vocabulary': 9, 'length': 14, 'volume': 44.37895002019237, 'difficulty': 0.75, 'effort': 33.284212515144276, 'time': 1.8491229175080153, 'bugs': 0.014792983340064124}",100,5,0,0,0,2,1,0
solution_100.py,0,"{'h1': 1, 'h2': 14, 'N1': 2, 'N2': 27, 'vocabulary': 15, 'length': 29, 'volume': 113.29982727264704, 'difficulty': 0.9642857142857143, 'effort': 109.2534048700525, 'time': 6.0696336038918055, 'bugs': 0.03776660909088234}",100,10,0,0,0,2,1,0
solution_1000.py,3,"{'h1': 2, 'h2': 15, 'N1': 5, 'N2': 44, 'vocabulary': 17, 'length': 49, 'volume': 200.2856792212666, 'difficulty': 2.933333333333333, 'effort': 587.5046590490487, 'time': 32.63914772494715, 'bugs': 0.06676189307375553}",66.01230217,21,0,1,0,0,0,0
solution_1001.py,0,"{'h1': 2, 'h2': 19, 'N1': 7, 'N2': 46, 'vocabulary': 21, 'length': 53, 'volume': 232.7928234072743, 'difficulty': 2.4210526315789473, 'effort': 563.6036777228746, 'time': 31.31131542904859, 'bugs': 0.07759760780242476}",66.70414315,11,0,0,0,0,0,0
solution_1002.py,0,"{'h1': 1, 'h2': 36, 'N1': 6, 'N2': 64, 'vocabulary': 37, 'length': 70, 'volume': 364.6617355940265, 'difficulty': 0.8888888888888888, 'effort': 324.143764972468, 'time': 18.007986942914886, 'bugs': 0.1215539118646755}",100,16,0,0,0,2,1,0
solution_1003.py,0,"{'h1': 4, 'h2': 20, 'N1': 10, 'N2': 46, 'vocabulary': 24, 'length': 56, 'volume': 256.75790004038475, 'difficulty': 4.6, 'effort': 1181.0863401857698, 'time': 65.61590778809833, 'bugs': 0.08558596668012824}",64.02031445,16,0,0,0,2,1,0
solution_1004.py,0,"{'h1': 1, 'h2': 11, 'N1': 4, 'N2': 45, 'vocabulary': 12, 'length': 49, 'volume': 175.66316253533665, 'difficulty': 2.0454545454545454, 'effort': 359.31101427682495, 'time': 19.961723015379164, 'bugs': 0.05855438751177888}",100,16,0,0,0,1,1,0
solution_1005.py,0,"{'h1': 3, 'h2': 18, 'N1': 13, 'N2': 51, 'vocabulary': 21, 'length': 64, 'volume': 281.1083150578407, 'difficulty': 4.25, 'effort': 1194.710338995823, 'time': 66.37279661087905, 'bugs': 0.0937027716859469}",58.88206556,15,0,0,0,0,0,0
solution_1006.py,0,"{'h1': 1, 'h2': 7, 'N1': 1, 'N2': 12, 'vocabulary': 8, 'length': 13, 'volume': 39.0, 'difficulty': 0.8571428571428571, 'effort': 33.42857142857142, 'time': 1.8571428571428568, 'bugs': 0.013}",100,3,0,0,0,0,0,0
solution_1007.py,0,"{'h1': 1, 'h2': 8, 'N1': 2, 'N2': 17, 'vocabulary': 9, 'length': 19, 'volume': 60.228575027403934, 'difficulty': 1.0625, 'effort': 63.99286096661668, 'time': 3.5551589425898156, 'bugs': 0.02007619167580131}",100,7,0,0,0,1,1,0
solution_1008.py,0,"{'h1': 1, 'h2': 11, 'N1': 2, 'N2': 18, 'vocabulary': 12, 'length': 20, 'volume': 71.69925001442311, 'difficulty': 0.8181818181818182, 'effort': 58.66302273907346, 'time': 3.2590568188374145, 'bugs': 0.023899750004807704}",100,6,0,0,0,1,1,0
solution_1009.py,4,"{'h1': 1, 'h2': 28, 'N1': 7, 'N2': 101, 'vocabulary': 29, 'length': 108, 'volume': 524.6619474737778, 'difficulty': 1.8035714285714286, 'effort': 946.2652981223492, 'time': 52.570294340130516, 'bugs': 0.1748873158245926}",100,29,0,2,0,0,0,0
solution_101.py,1,"{'h1': 4, 'h2': 20, 'N1': 9, 'N2': 44, 'vocabulary': 24, 'length': 53, 'volume': 243.00301253822127, 'difficulty': 4.4, 'effort': 1069.2132551681736, 'time': 59.40073639823187, 'bugs': 0.08100100417940709}",61.92288227,16,0,1,0,2,1,0
solution_1010.py,0,"{'h1': 2, 'h2': 14, 'N1': 4, 'N2': 19, 'vocabulary': 16, 'length': 23, 'volume': 92.0, 'difficulty': 1.3571428571428572, 'effort': 124.85714285714286, 'time': 6.936507936507937, 'bugs': 0.030666666666666665}",74.17383746,8,0,0,0,3,1,0
solution_1011.py,0,"{'h1': 1, 'h2': 8, 'N1': 1, 'N2': 9, 'vocabulary': 9, 'length': 10, 'volume': 31.69925001442312, 'difficulty': 0.5625, 'effort': 17.830828133113005, 'time': 0.9906015629507225, 'bugs': 0.010566416671474373}",100,3,0,0,0,1,1,0
solution_1012.py,0,"{'h1': 2, 'h2': 18, 'N1': 5, 'N2': 36, 'vocabulary': 20, 'length': 41, 'volume': 177.19905189038187, 'difficulty': 2.0, 'effort': 354.39810378076373, 'time': 19.688783543375763, 'bugs': 0.05906635063012729}",72.75608533,14,0,0,0,1,1,0
solution_1013.py,4,"{'h1': 6, 'h2': 19, 'N1': 9, 'N2': 63, 'vocabulary': 25, 'length': 72, 'volume': 334.35764566378015, 'difficulty': 9.947368421052632, 'effort': 3325.978685813392, 'time': 184.77659365629955, 'bugs': 0.11145254855459338}",63.83190845,13,0,1,0,0,0,0
solution_1014.py,2,"{'h1': 0, 'h2': 14, 'N1': 0, 'N2': 21, 'vocabulary': 14, 'length': 21, 'volume': 79.9544533632097, 'difficulty': 0.0, 'effort': 0.0, 'time': 0.0, 'bugs': 0.02665148445440323}",100,7,0,2,0,0,0,0
